#SampleID	study-id	author	sample-name	condition1	condition2	condition3	mix1	mix2	type
SRR14300773	SRP315877	SINGH_2021	C5-54_S32_L001_R2_001.fastq.gz	FOODWASTE	High_ammonium-nitrogen_conditions				PAIRED
SRR14300774	SRP315877	SINGH_2021	C5-55_S33_L001_R2_001.fastq.gz	FOODWASTE	High_ammonium-nitrogen_conditions				PAIRED
SRR14300775	SRP315877	SINGH_2021	C6-59_S96_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300776	SRP315877	SINGH_2021	C5-56_S34_L001_R2_001.fastq.gz	FOODWASTE	High_ammonium-nitrogen_conditions				PAIRED
SRR14300777	SRP315877	SINGH_2021	C5-57_S35_L001_R2_001.fastq.gz	FOODWASTE	High_ammonium-nitrogen_conditions				PAIRED
SRR14300778	SRP315877	SINGH_2021	C5-58_S36_L001_R2_001.fastq.gz	FOODWASTE	High_ammonium-nitrogen_conditions				PAIRED
SRR14300779	SRP315877	SINGH_2021	C5-59_S37_L001_R2_001.fastq.gz	FOODWASTE	High_ammonium-nitrogen_conditions				PAIRED
SRR14300780	SRP315877	SINGH_2021	C6-01_S38_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300781	SRP315877	SINGH_2021	C6-02_S39_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300782	SRP315877	SINGH_2021	C6-03_S40_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300783	SRP315877	SINGH_2021	C6-04_S41_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300784	SRP315877	SINGH_2021	C6-05_S42_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300785	SRP315877	SINGH_2021	C6-06_S43_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300786	SRP315877	SINGH_2021	C6-60_S97_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300787	SRP315877	SINGH_2021	C6-07_S44_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300788	SRP315877	SINGH_2021	C6-08_S45_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300789	SRP315877	SINGH_2021	C6-09_S46_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300790	SRP315877	SINGH_2021	C6-10_S47_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300791	SRP315877	SINGH_2021	C6-11_S48_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300792	SRP315877	SINGH_2021	C6-12_S49_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300793	SRP315877	SINGH_2021	C6-13_S50_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300794	SRP315877	SINGH_2021	C6-14_S51_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300795	SRP315877	SINGH_2021	C6-15_S52_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300796	SRP315877	SINGH_2021	C6-16_S53_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300797	SRP315877	SINGH_2021	C6-61_S98_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300798	SRP315877	SINGH_2021	C6-66_S103_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300799	SRP315877	SINGH_2021	C6-32_S69_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300800	SRP315877	SINGH_2021	C2-20_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300801	SRP315877	SINGH_2021	C2-21_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300802	SRP315877	SINGH_2021	C2-22_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300803	SRP315877	SINGH_2021	C2-23_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300804	SRP315877	SINGH_2021	C2-24_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300805	SRP315877	SINGH_2021	C2-25_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300806	SRP315877	SINGH_2021	C2-26_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300807	SRP315877	SINGH_2021	C2-27_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300808	SRP315877	SINGH_2021	C2-28_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300809	SRP315877	SINGH_2021	C2-29_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300810	SRP315877	SINGH_2021	C6-33_S70_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300811	SRP315877	SINGH_2021	C2-30_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300812	SRP315877	SINGH_2021	C2-31_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300813	SRP315877	SINGH_2021	C2-32_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300814	SRP315877	SINGH_2021	C2-33_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300815	SRP315877	SINGH_2021	C2-34_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300816	SRP315877	SINGH_2021	C2-35_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300817	SRP315877	SINGH_2021	C2-36_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300818	SRP315877	SINGH_2021	C2-37_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300819	SRP315877	SINGH_2021	C2-38_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300820	SRP315877	SINGH_2021	C2-39_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300821	SRP315877	SINGH_2021	C6-34_S71_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300822	SRP315877	SINGH_2021	C2-40_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
