genera	relative abundance
Butyricicoccus_A	5.26E-06
Ktedonobacter	5.20E-06
GWE2-42-24	5.12E-06
QKMZ01	5.07E-06
Microsaccharimonas	5.07E-06
Ga0077548	5.05E-06
Syntrophopropionicum	5.05E-06
Bacillus	4.98E-06
Caccoplasma	4.94E-06
DTU073	4.88E-06
Scatovivens	4.88E-06
JALOAG01	4.77E-06
Sarcina	4.75E-06
CALLXS01	4.74E-06
CAG-177	4.72E-06
Aerococcus	4.69E-06
Clostridium_G	4.62E-06
Jeotgalibaca	4.56E-06
Thiobacillus	4.41E-06
Akkermansia	4.38E-06
Raoultibacter	4.37E-06
JALNXB01	4.37E-06
Desulfogranum	4.36E-06
JAAYCB01	4.32E-06
RUG11797	4.30E-06
DUPH01	4.30E-06
Agriterribacter	4.27E-06
DUVQ01	4.27E-06
WRGT01	4.26E-06
Calorimonas	4.25E-06
Pseudobutyricicoccus	4.19E-06
JAQWCH01	4.18E-06
Thermobifida	4.17E-06
VEMY01	4.14E-06
Lentihominibacter	4.12E-06
JAAZJX01	4.12E-06
DUUS01	4.00E-06
Holtiella	4.00E-06
Pelosinus	4.00E-06
Frisingicoccus	3.98E-06
Paenibacillus_G	3.98E-06
Sulfurimonas	3.97E-06
JAAZAW01	3.84E-06
Phascolarctobacterium	3.79E-06
Methanobrevibacter	3.76E-06
UMGS1623	3.73E-06
Cellvibrio	3.69E-06
Ralstonia	3.64E-06
Sandaracinobacteroides	3.59E-06
DUQW01	3.56E-06
UTCFX2	3.41E-06
JAISZG01	3.38E-06
RUG14515	3.31E-06
CALZBJ01	3.31E-06
Baekduia	3.29E-06
Methanosphaera	3.28E-06
Xylanivirga	3.25E-06
AWTP1-35	3.25E-06
MWEV01	3.24E-06
Nakamurella	3.22E-06
JAFAFZ01	3.22E-06
Bulleidia	3.19E-06
GWF2-43-63	3.18E-06
Clostridium_B	3.14E-06
Ornatilinea	3.13E-06
D1FN1-002	3.12E-06
WRHL01	3.11E-06
Sinanaerobacter	3.11E-06
Acidaminococcus	3.11E-06
JALOAH01	3.06E-06
Pantoea	3.05E-06
JAIRKM01	3.02E-06
Fusobacterium_A	3.02E-06
Leuconostoc	3.00E-06
CALEKX01	2.97E-06
JAAZIY01	2.97E-06
Anaerotruncus	2.94E-06
Faecalibacterium	2.94E-06
Syntrophomonas_B	2.87E-06
Pseudohongiella	2.86E-06
21-14-0-10-32-9	2.85E-06
JAGDMK01	2.85E-06
DUPI01	2.84E-06
WARW01	2.84E-06
Collinsella	2.77E-06
Denitrobacterium	2.76E-06
JAEWVQ01	2.71E-06
Cellulomonas	2.71E-06
JAAZBK01	2.70E-06
Halolacustris	2.68E-06
CAINDR01	2.67E-06
SZUA-444	2.66E-06
QUBU01	2.65E-06
Acetobacteroides	2.64E-06
Parvimonas	2.64E-06
HGM11616	2.62E-06
Pseudochelatococcus	2.58E-06
Gaiella	2.55E-06
JAJYNT01	2.50E-06
CAJOJR01	2.44E-06
CAIFEB01	2.42E-06
JACKGS01	2.42E-06
B1SED10-75	2.39E-06
Bacteroides_G	2.38E-06
CAJBME01	2.36E-06
Anaerosphaera	2.36E-06
Amaricoccus	2.36E-06
JAKIU001	2.33E-06
SKW16	2.32E-06
RSA17	2.29E-06
Odoribacter	2.27E-06
GCA-2737725	2.24E-06
JAEUHH01	2.22E-06
DYJB01	2.22E-06
CAIXPF01	2.22E-06
CAIKOD01	2.18E-06
JAIRNI01	2.18E-06
Cellulosilyticum	2.13E-06
JAMCQZ01	2.10E-06
FUHM01	2.09E-06
Ligilactobacillus	2.06E-06
JALRDG01	2.04E-06
Flaviflexus	2.01E-06
Acetoanaerobium	2.01E-06
58-81	1.97E-06
Cloacibacterium	1.96E-06
Stutzerimonas	1.94E-06
Gemmatimonas	1.94E-06
Methanomethylovorans	1.85E-06
HGM11604	1.84E-06
Fen-1135	1.81E-06
Niveibacterium	1.80E-06
JAAZMU01	1.79E-06
Nocardia	1.78E-06
CAJBLF01	1.76E-06
Pusillimonas	1.72E-06
MKRK01	1.72E-06
Megasphaera	1.72E-06
Monoglobus	1.68E-06
Scrofimicrobium	1.62E-06
T3Sed10-213	1.62E-06
Clostridioides	1.60E-06
Methylophaga	1.59E-06
Selenomonas_C	1.56E-06
Thermanaerosceptrum	1.53E-06
Anaerobacterium	1.52E-06
JAKSCF01	1.51E-06
Trueperella	1.50E-06
SIG435	1.50E-06
Fructobacillus	1.47E-06
Castellaniella	1.47E-06
Actinotalea	1.47E-06
JAGVXH01	1.43E-06
JAMCZZ01	1.42E-06
DYGT01	1.42E-06
CAG-390	1.41E-06
Paenibacillus	1.39E-06
HK-STAS-PATE-36	1.39E-06
Conexibacter	1.38E-06
Bilifractor	1.38E-06
Selenobaculum	1.37E-06
Neorhizobium	1.37E-06
Blautia_A	1.36E-06
OLB17	1.33E-06
WO2-35-19	1.30E-06
Alcanivorax	1.29E-06
Paenochrobactrum	1.28E-06
Irregularibacter	1.28E-06
JAGUWJ01	1.28E-06
Sporomusa	1.27E-06
CAIWKO01	1.26E-06
JAGUVT01	1.25E-06
AUK324	1.23E-06
Haploplasma	1.23E-06
Actinomyces	1.21E-06
Alkalicoccobacillus	1.19E-06
MWEH01	1.19E-06
JAIEPT01	1.18E-06
Pontibacillus	1.18E-06
Delta-02	1.17E-06
TumbabinsA96	1.14E-06
RUG12438	1.14E-06
UMGS1781	1.13E-06
Sulfurospirillum	1.10E-06
Ruminiclostridium_E	1.09E-06
Fundidesulfovibrio	1.08E-06
Sideroxyarcus	1.08E-06
Lederbergia_A	1.02E-06
STC-113	1.02E-06
Dietzia	1.01E-06
Aliihoeflea	1.01E-06
Evtepia	9.73E-07
JAQVKF01	9.70E-07
Blautia	9.64E-07
Ligaoa	9.54E-07
BNUH01	9.43E-07
YB12-FULL-65-16	9.42E-07
Novibacillus	9.10E-07
Andreesenia	9.02E-07
Solidesulfovibrio	9.02E-07
JAAZKO01	8.99E-07
JACRCQ01	8.94E-07
Gemmiger	8.80E-07
RZYC01	8.61E-07
QAMH01	8.61E-07
Aphodosoma	8.60E-07
Ochrobactrum_A	8.55E-07
Nocardioides	8.42E-07
Lachnotalea	8.38E-07
Fusobacterium	8.37E-07
Pauljensenia	8.30E-07
Butyricicoccus	8.10E-07
CAIQIQ01	8.04E-07
Clostridium_AU	7.89E-07
Fonticella	7.84E-07
JAPOVR01	7.81E-07
JAAFHB01	7.75E-07
RUG420	7.52E-07
JAAEPJ01	7.51E-07
Nocardiopsis	7.29E-07
JAERMQ01	7.27E-07
Ignatzschineria	7.21E-07
Fundicoccus	7.09E-07
Leadbetterella	7.07E-07
JAJGRE01	6.98E-07
Lutibacter	6.92E-07
PRDV01	6.87E-07
Dysosmobacter_A	6.83E-07
Clostridium_AT	6.74E-07
Pygmaiobacter	6.74E-07
SZUA-442	6.73E-07
JANJUO01	6.71E-07
Dehalobacter	6.67E-07
Mesosutterella	6.59E-07
Sphingobacterium	6.39E-07
MWFF01	6.38E-07
Oscillibacter	6.28E-07
Methylocaldum	6.20E-07
Scatousia	6.20E-07
DTU059	6.19E-07
Lancefieldella	6.19E-07
Caulobacter	6.17E-07
D16-63	6.05E-07
Ochrobactrum	5.94E-07
CAG-698	5.94E-07
DTU024	5.84E-07
Sneathiella	5.66E-07
JAQSXR01	5.64E-07
Thermostaphylospora	5.56E-07
JAEXNA01	5.50E-07
MWBX01	5.45E-07
Intestinimonas	5.44E-07
JABLXH01	5.43E-07
Tumebacillus	5.37E-07
JABWBD01	5.36E-07
JANKMX01	5.29E-07
Lysobacter_C	5.26E-07
Proteiniborus	5.26E-07
Jeotgalicoccus	5.25E-07
Catenibacterium	5.13E-07
GWE2-29-8	5.07E-07
Firm-13	4.87E-07
Agathobaculum	4.64E-07
Lujinxingia	4.59E-07
Phil1	4.50E-07
Alloprevotella	4.42E-07
Caproicibacterium	4.38E-07
Arenimonas	4.35E-07
JAGOPY01	4.34E-07
Succinivibrio	4.33E-07
Vescimonas	4.31E-07
Fusobacterium_B	4.31E-07
Nucleicultrix	4.24E-07
1-14-0-10-37-14	4.16E-07
Pseudobutyrivibrio	4.08E-07
JABUFB01	4.03E-07
Anaeroplasma	3.99E-07
Cellulosimicrobium	3.98E-07
Alkalibacter	3.97E-07
CAINVV01	3.92E-07
CALARR01	3.91E-07
SZUA-370	3.79E-07
VGXK01	3.78E-07
AV2	3.73E-07
Novosphingobium	3.68E-07
JAMLIA01	3.64E-07
Flavonifractor	3.61E-07
Lawsonibacter	3.56E-07
Fastidiosipila	3.52E-07
Anaerococcus	3.52E-07
SXXK01	3.46E-07
Phascolarctobacterium_A	3.45E-07
Acholeplasma	3.45E-07
Rifleibacterium	3.42E-07
Longibaculum	3.32E-07
Bacillus_BB	3.26E-07
79-D21	3.25E-07
RUG11894	3.23E-07
Luteococcus	3.14E-07
Clostridium_AV	3.13E-07
GCA-2747515	3.09E-07
Bu92	3.08E-07
CSSed11-197	3.06E-07
Litorihabitans	3.05E-07
GWE2-31-10	3.02E-07
Andeanibacterium	3.00E-07
CAISOI01	2.99E-07
JAGQOG01	2.98E-07
Intestinibaculum	2.97E-07
Floccifex	2.97E-07
Pedobacter	2.94E-07
Fusibacter_C	2.94E-07
SbD1	2.91E-07
Scybalousia	2.87E-07
Ornithospirochaeta	2.85E-07
JAFGOL01	2.79E-07
Ventricola	2.75E-07
UMGS124	2.71E-07
Ruminococcus_C	2.70E-07
Duodenibacillus	2.63E-07
Epulopiscium_D	2.62E-07
QAKW01	2.59E-07
JAJDGJ01	2.58E-07
